№,"Длина волны,м","Частота,Гц","ЭПР,м^2"
1,30.0,10000000.0,0.011907780655802457
2,28.968315301391034,10356142.456982793,0.012767487255672377
3,28.005229734777735,10712284.913965587,0.013656769308929326
4,27.104121475054228,11068427.37094838,0.014575574792370536
5,26.259194395796847,11424569.827931173,0.015523849949868508
6,25.465353260869566,11780712.284913965,0.016501539292657463
7,24.71810089020771,12136854.74189676,0.01750858559946352
8,24.013452914798208,12492997.198879551,0.018544929916478537
9,23.347866708190598,12849139.655862344,0.01961051155717874
10,22.71818181818182,13205282.112845138,0.020705268101988045
11,22.121569784597227,13561424.569827931,0.02182913539778788
12,21.55549166187464,13917567.026810724,0.02298204755727419
13,21.017661900756938,14273709.483793518,0.02416393695816331
14,20.50601750547046,14629851.94077631,0.02537473424224824
15,20.01869158878505,14985994.397759102,0.026614368314307232
16,19.553990610328636,15342136.854741897,0.027882766340866727
17,19.11037471322967,15698279.311724689,0.029179853748820695
18,18.6864406779661,16054421.768707484,0.030505554223909204
19,18.280907095830287,16410564.225690275,0.03185978970905809
20,17.892601431980907,16766706.682673069,0.03324248040258357
21,17.520448702967983,17122849.139655862,0.03465354475626316
22,17.163461538461537,17478991.596638657,0.03609289947327746
23,16.820731433699798,17835134.05362145,0.037560459506025316
24,16.491421029476463,18191276.51060424,0.0390561380538155
25,16.174757281553397,18547418.967587035,0.04057984656043922
26,15.870025402201522,18903561.42456983,0.042131494711626194
27,15.576563473924786,19259703.88155262,0.043710990432388554
28,15.2937576499388,19615846.338535413,0.045318239884257074
29,15.021037868162695,19971988.795518205,0.04695314746241225
30,14.757874015748031,20328131.252501,0.04861561579271628
31,14.503772489843296,20684273.709483795,0.05030554572864863
32,14.258273107645493,21040416.166466586,0.05202283634815106
33,14.02094632504208,21396558.623449378,0.05376738495038541
34,13.791390728476822,21752701.080432173,0.055539087052409467
35,13.569230769230767,22108843.537414968,0.057337836385776296
36,13.354114713216957,22464985.99439776,0.05916352489306028
37,13.145712782745925,22821128.45138055,0.06101604272431698
38,12.94371546961326,23177270.908363346,0.06289527823348019
39,12.747832001360313,23533413.365346137,0.06480111797470234
40,12.557788944723617,23889555.822328933,0.0667334466986433
41,12.373328932167025,24245698.279311724,0.0686921473487138
42,12.194209499024074,24601840.736294515,0.07067710105727765
43,12.02020202020202,24957983.19327731,0.07268818714181882
44,11.851090736642428,25314125.650260106,0.07472528310108086
45,11.686671862821512,25670268.107242897,0.07678826461118139
46,11.526752767527675,26026410.56422569,0.07887700552171081
47,11.371151220991962,26382553.021208484,0.08099137785181826
48,11.219694702184974,26738695.47819128,0.08313125178629416
49,11.07221976074435,27094837.93517407,0.08529649567165169
50,10.928571428571429,27450980.39215686,0.08748697601221767
51,10.788602676644121,27807122.849139657,0.08970255746623566
52,10.652173913043478,28163265.30612245,0.09194310284199038
53,10.519152518591271,28519407.763105243,0.0942084730939572
54,10.38941241685144,28875550.220088035,0.09649852731898687
55,10.262833675564682,29231692.677070826,0.09881312275252838
56,10.13930213686773,29587835.13405362,0.10115211476489999
57,10.018709073900842,29943977.591036413,0.10351535685761253
58,9.900950871632329,30300120.048019208,0.10590270065975399
59,9.785928729930818,30656262.505002,0.10831399592444119
60,9.673548387096774,31012404.961984795,0.11074909052534497
61,9.563719862227325,31368547.418967586,0.11320783045329835
62,9.456357214934409,31724689.87595038,0.11569005981299173
63,9.351378321067731,32080832.332933173,0.11819562081976465
64,9.248704663212434,32436974.789915968,0.12072435379650003
65,9.148261134838316,32793117.24689876,0.12327609717062861
66,9.049975857073878,33149259.70388155,0.12585068747125158
67,8.953780007165891,33505402.160864346,0.12844795932638725
68,8.859607657764123,33861544.61784714,0.13106774546035038
69,8.767395626242545,34217687.074829936,0.13370987669127124
70,8.677083333333332,34573829.53181273,0.13637418192876155
71,8.588612670408981,34929971.98879552,0.1390604881717365
72,8.501927874801542,35286114.44577831,0.14176862050639727
73,8.416975412596834,35642256.9027611,0.14449840210438425
74,8.33370386838595,35998399.35974389,0.14724965422110795
75,8.252063841496973,36354541.81672669,0.15002219619426557
76,8.17200784826684,36710684.27370948,0.15281584544254775
77,8.093490229947102,37066826.730692275,0.1556304174645492
78,8.016467065868262,37422969.187675074,0.15846572583788504
79,7.940896091515729,37779111.644657865,0.16132158221852308
80,7.866736621196222,38135254.10164066,0.1641977963403405
81,7.793949474997401,38491396.55862345,0.16709417601491133
82,7.722496909765143,38847539.01560624,0.17001052713153136
83,7.652342553843014,39203681.47258903,0.17294665365749157
84,7.58345134533684,39559823.92957183,0.1759023576386041
85,7.515789473684211,39915966.38655462,0.1788774391999905
86,7.449324324324324,40272108.84353742,0.18187169654713956
87,7.384024426277946,40628251.30052021,0.18488492596724138
88,7.319859402460457,40984393.757503,0.1879169218308071
89,7.256799922563159,41340536.214485794,0.19096747659358032
90,7.194817658349328,41696678.671468586,0.19403638079874685
91,7.133885241221811,42052821.12845138,0.1971234230794541
92,7.073976221928667,42408963.58543417,0.20022839016164318
93,7.015065032282212,42765106.04241697,0.20335106686720325
94,6.9571269487750556,43121248.49939976,0.20649123611745626
95,6.9001380579843525,43477390.95638256,0.20964867893697678
96,6.844075223662588,43833533.41336535,0.2128231744577569
97,6.7889160554197225,44189675.87034814,0.21601449992372249
98,6.734638878907654,44545818.32733093,0.2192224306956057
99,6.681222707423581,44901960.78431372,0.22244674025618547
100,6.628647214854112,45258103.241296515,0.22568720021589714
101,6.576892709886832,45614245.698279314,0.2289435803188244
102,6.525940111420613,45970388.155262105,0.23221564844907455
103,6.475770925110132,46326530.6122449,0.2355031706375477
104,6.426367220984057,46682673.06922769,0.23880591106910604
105,6.377711612079966,47038815.52621049,0.2421236320901448
106,6.329787234042553,47394957.98319328,0.24545609421658232
107,6.282577725634795,47751100.44017607,0.24880305614226192
108,6.23606721011479,48107242.89715886,0.25216427474778247
109,6.190240277433738,48463385.35414165,0.2555395051097582
110,6.145081967213114,48819527.81112445,0.25892850051051625
111,6.100577752461551,49175670.26810724,0.2623310124482372
112,6.056713523994183,49531812.725090034,0.26574679064754
113,6.013475575519371,49887955.182072826,0.26917558307052813
114,5.970850589359668,50244097.639055625,0.27261713592828757
115,5.9288256227758005,50600240.096038416,0.276071193692855
116,5.887388094864144,50956382.55302121,0.27953749910965214
117,5.846525773999844,51312525.010004,0.28301579321039744
118,5.806226765799257,51668667.4669868,0.28650581532649605
119,5.766479501576802,52024809.92396959,0.2900073031029136
120,5.7272727272727275,52380952.38095238,0.2935199925125392
121,5.688595492829502,52737094.83793517,0.2970436178710438
122,5.65043714199578,53093237.29491796,0.3005779118522311
123,5.612787302537995,53449379.75190076,0.30412260550389353
124,5.575635876840696,53805522.208883554,0.30767742826417166
125,5.538973032877725,54161664.665866345,0.31124210797842145
126,5.502789195537288,54517807.12284914,0.3148163709165963
127,5.467075038284839,54873949.579831935,0.3183999417911389
128,5.431821475148529,55230092.03681473,0.32199254377539777
129,5.397019653012742,55586234.49379752,0.32559389852255716
130,5.3626609442060085,55942376.95078031,0.32920372618509713
131,5.328736939370247,56298519.4077631,0.3328217454347761
132,5.295239440598954,56654661.8647459,0.33644767348313864
133,5.262160454832596,57010804.32172869,0.34008122610255936
134,5.2294921875,57366946.77871148,0.34372211764781047
135,5.197227036395148,57723089.235694274,0.3473700610781689
136,5.1653575857792475,58079231.69267707,0.35102476798005144
137,5.133876600698486,58435374.149659865,0.35468594859019026
138,5.102777021508304,58791516.606642656,0.3583533118193376
139,5.072051958595495,59147659.06362545,0.3620265652765113
140,5.041694687289846,59503801.52060824,0.3657054152937744
141,5.011698642957417,59859943.97759104,0.3693895669515522
142,4.982057416267943,60216086.43457383,0.3730787241044791
143,4.952764748629187,60572228.89155662,0.3767725894077904
144,4.923814527781427,60928371.34853941,0.38047086434423855
145,4.895200783545543,61284513.80552221,0.3841732492515482
146,4.866917683718515,61640656.262505,0.38787944335039937
147,4.8389595301103725,61996798.719487794,0.3915891447729446
148,4.811320754716982,62352941.176470585,0.39530205059184836
149,4.783995916023227,62709083.633453384,0.399017856849857
150,4.756979695431472,63065226.090436175,0.40273625858988743
151,4.730266893810335,63421368.54741897,0.40645694988564074
152,4.7038524281591165,63777511.00440176,0.4101796238727295
153,4.677731328383353,64133653.46138455,0.41390397278031965
154,4.651898734177215,64489795.91836735,0.4176296879632804
155,4.62634989200864,64845938.37535014,0.4213564599348465
156,4.601080152203265,65202080.83233293,0.42508397839977546
157,4.576084966123421,65558223.28931572,0.4288119322880046
158,4.551359883438562,65914365.74629852,0.43254000978879986
159,4.526900549483726,66270508.20328131,0.4362678983853952
160,4.5027027027027025,66626650.660264105,0.4399952848901095
161,4.47876217217277,66982793.117246896,0.4437218554799399
162,4.455074875207987,67338935.57422969,0.44744729573262815
163,4.431636815038128,67695078.03121248,0.4511712906631901
164,4.408444078560509,68051220.48819527,0.4548935247608989
165,4.3854928341620365,68407362.94517806,0.4586136820267211
166,4.362779329608939,68763505.40216085,0.46233144601119847
167,4.340299890001737,69119647.85914366,0.46604649985275876
168,4.318050915793111,69475790.31612645,0.46975852631645854
169,4.296028880866426,69831932.77310924,0.4734672078331492
170,4.274230330672748,70188075.23009203,0.4771722265390456
171,4.2526518804243,70544217.68707484,0.48087326431570343
172,4.231290213342363,70900360.14405763,0.4845700028303919
173,4.210142078957713,71256502.60104042,0.48826212357684495
174,4.189204291461779,71612645.05802321,0.4919493079163933
175,4.168473728106756,71968787.515006,0.49563123711945967
176,4.147947327652982,72324929.9719888,0.49930759240740924
177,4.127622088861973,72681072.42897159,0.5029780549947456
178,4.107495069033531,73037214.88595438,0.5066423061316434
179,4.087563382585464,73393357.34293717,0.510300027146801
180,4.067824199674444,73749499.79991996,0.5139508994906066
181,4.048274744856634,74105642.25690275,0.5175946047786129
182,4.028912295786759,74461784.71388555,0.5212308248352898
183,4.009734181954324,74817927.17086834,0.5248592417380674
184,3.9907377834557654,75174069.62785113,0.5284795378616329
185,3.9719205298013245,75530212.08483393,0.5320913959224943
186,3.953279898755537,75886354.54181673,0.5356944990237756
187,3.9348134152102032,76242496.99879952,0.5392885307002447
188,3.9165186500888103,76598639.45578231,0.542873174963558
189,3.898393219281368,76954781.91276512,0.5464481163477054
190,3.8804347826086962,77310924.36974789,0.5500130399546441
191,3.8626410428151887,77667066.8267307,0.5535676315001148
192,3.845009744589188,78023209.28371349,0.5571115773596083
193,3.8275386736100474,78379351.74069628,0.5606445646144924
194,3.810225655621061,78735494.19767907,0.5641662810982655
195,3.7930685555274475,79091636.65466186,0.5676764154429326
196,3.776065276518586,79447779.11164466,0.5711746571254832
197,3.7592137592137593,79803921.56862745,0.5746606965144704
198,3.7425119808306713,80160064.02561024,0.5781342249166509
199,3.7259579543760255,80516206.48259303,0.5815949346237016
200,3.709549727857496,80872348.93957584,0.5850425189589707
201,3.693285383516429,81228491.39655863,0.5884766723242677
202,3.6771630370806356,81584633.85354142,0.5918970902466651
203,3.6611808370366754,81940776.31052421,0.5953034694253063
204,3.645336963921035,82296918.767507,0.5986955077781901
205,3.6296296296296298,82653061.2244898,0.6020729044889339
206,3.614057076745083,83009203.68147258,0.6054353600534867
207,3.5986175778812464,83365346.13845538,0.6087825763267819
208,3.583309435044451,83721488.59543817,0.6121142565693116
209,3.568130979010994,84077631.05242097,0.6154301054936118
210,3.553080568720379,84433773.50940377,0.6187298293106329
211,3.5381565906838452,84789915.96638656,0.6220131357759942
212,3.523357458407745,85146058.42336935,0.6252797342360891
213,3.508681611831329,85502200.88035214,0.6285293356740393
214,3.4941275167785237,85858343.33733493,0.6317616527554807
215,3.4796936644233,86214485.79431772,0.6349763998741487
216,3.4653785707682356,86570628.25130051,0.6381732931972739
217,3.4511807761358932,86926770.7082833,0.6413520507107512
218,3.437098844672657,87282913.16526611,0.644512392264071
219,3.4231313638646634,87639055.6222489,0.6476540396150089
220,3.409276944065484,87995198.0792317,0.6507767164740322
221,3.395534218035237,88351340.53621449,0.6538801485484484
222,3.3819018404907975,88707482.99319728,0.6569640635862273
223,3.3683784876668015,89063625.45018007,0.6600281914195304
224,3.354962856887139,89419767.90716286,0.6630722640079061
225,3.3416536661466463,89775910.36414565,0.6660960154811318
226,3.3284496537027173,90132052.82112844,0.6690991821817146
227,3.3153495776765576,90488195.27811125,0.672081502706994
228,3.302352215663818,90844337.73509404,0.6750427179508778
229,3.28945636435435,91200480.19207683,0.6779825711451619
230,3.276660839160839,91556622.64905962,0.68090080790043
231,3.263964473856067,91912765.10604241,0.6837971762465259
232,3.2513661202185795,92268907.5630252,0.686671426672576
233,3.2388646476865253,92625050.020008,0.6895233121665495
234,3.226458943019453,92981192.47699079,0.6923525882543407
235,3.2141479099678456,93337334.9339736,0.6951590130383678
236,3.2019304689502004,93693477.39095639,0.6979423472356636
237,3.1898055567374377,94049619.84793918,0.7007023542154508
238,3.177772126144456,94405762.30492197,0.7034388000361875
239,3.1658291457286434,94761904.76190476,0.7061514534820766
240,3.153975599495162,95118047.21888755,0.7088400860990067
241,3.142210486608827,95474189.67587034,0.7115044722299415
242,3.1305328211124106,95830332.13285314,0.7141443890497137
243,3.1189416316512046,96186474.58983593,0.7167596165992464
244,3.1074359612036804,96542617.04681873,0.719349937819146
245,3.096014866818088,96898759.50380152,0.7219151385827082
246,3.0846774193548385,97254901.96078432,0.7244550077282776
247,3.0734227032345345,97611044.41776711,0.726969337090981
248,3.0622498161914877,97967186.8747499,0.7294579215338086
249,3.0511578690325996,98323329.33173269,0.7319205589780456
250,3.04014598540146,98679471.78871548,0.734357050433027
251,3.0292133015475375,99035614.24569827,0.736767200025222
252,3.0183589661003305,99391756.70268106,0.7391508150266306
253,3.007582139848357,99747899.15966387,0.7415077058824893
254,2.996881995522865,100104041.61664666,0.743837686238264
255,2.9862577175861382,100460184.07362945,0.7461405729659406
256,2.9757085020242915,100816326.53061225,0.7484161861895922
257,2.9652335561444447,101172468.98759504,0.7506643493102172
258,2.954832098376163,101528611.44457783,0.7528848890298465
259,2.944503358077059,101884753.90156062,0.7550776353749051
260,2.934246575342466,102240896.35854341,0.7572424217188274
261,2.924061000819065,102597038.8155262,0.7593790848039227
262,2.913945895522388,102953181.27250901,0.7614874647624689
263,2.9039005306580936,103309323.7294918,0.7635674051370539
264,2.8939241874469235,103665466.18647459,0.7656187529001375
265,2.88401615695326,104021608.64345738,0.7676413584728389
266,2.8741757399171908,104377751.10044017,0.7696350757429483
267,2.8644022465899974,104733893.55742297,0.7715997620821461
268,2.8546949965729955,105090036.01440576,0.7735352783624486
269,2.8450533186596334,105446178.47138855,0.7754414889718445
270,2.835476550680787,105802320.92837134,0.7773182618291515
271,2.8259640393531607,106158463.38535415,0.7791654683980712
272,2.8165151401307384,106514605.84233694,0.7809829837004432
273,2.807129217059198,106870748.29931973,0.782770686328703
274,2.7978056426332287,107226890.75630252,0.7845284584575365
275,2.788543797656686,107583033.21328531,0.7862561858547269
276,2.779343071105509,107939175.6702681,0.7879537578912065
277,2.770202859993349,108295318.1272509,0.7896210675502948
