# Вариант   D      fmin     fmax
    1    10e-3    0.01e9    40e9
    2    20e-3    0.01e9    30e9
    3    30e-3    0.01e9    25e9
    4    100e-3   0.01e9    10e9
    5    300e-3   0.01e9    5e9
    6    0.5      10e6      900e6
    7    0.8      10e6      900e6
    8    1.0      10e6      600e6
    9    50e-3    0.01e9    20e9
    10   5e-3     0.01e9    80e9
    11   250e-3   0.01e9    10e9
    12   70e-3    0.01e9    25e9
    13   200e-3   0.01e9    5e9
    14   400e-3   0.01e9    7e9
    15   15e-3    0.01e9    45e9
    16   25e-3    0.01e9    35e9
    17   35e-3    0.01e9    20e9
    18   55e-3    0.01e9    15e9
    19   150e-3   0.01e9    12e9
    20   350e-3   0.01e9    4e9
